id,date,prcp,tmin,tmax,tavg,tsun
MXM00076680,2019-04-27,0.5,13.4,27.5,20.4,
MXM00076680,2019-04-28,0.0,13.4,28.9,21.3,
MXM00076680,2019-04-29,0.3,,,20.9,
MXM00076680,2019-04-30,0.0,13.0,28.9,19.3,
MXM00076680,2019-05-01,0.0,13.0,29.4,21.1,
MXM00076680,2019-05-02,0.8,13.0,29.9,20.7,
MXM00076680,2019-05-03,0.0,14.0,29.6,22.0,
MXM00076680,2019-05-04,0.0,14.0,28.1,20.4,
MXM00076680,2019-05-06,1.3,10.2,28.0,20.1,
MXM00076680,2019-05-07,0.0,,,22.7,
MXM00076680,2019-05-08,0.0,13.5,30.5,22.6,
MXM00076680,2019-05-09,0.0,14.5,29.5,23.4,
MXM00076680,2019-05-10,0.0,,,22.7,
MXM00076680,2019-05-11,0.0,15.0,31.0,23.5,
MXM00076680,2019-05-12,0.0,14.8,30.5,24.0,
MXM00076680,2019-05-13,0.0,14.8,30.5,25.3,
MXM00076680,2019-05-14,0.0,14.5,29.9,23.4,
MXM00076680,2019-05-15,0.0,14.5,31.7,22.3,
MXM00076680,2019-05-20,0.0,14.2,31.0,23.4,
MXM00076680,2019-05-21,0.0,16.5,30.1,24.0,
MXM00076680,2019-05-22,3.8,14.5,31.0,21.6,
MXM00076680,2019-05-23,0.3,16.0,31.2,23.1,
MXM00076680,2019-05-24,0.0,13.0,30.1,21.4,
MXM00076680,2019-05-25,0.0,15.0,28.0,20.9,
MXM00076680,2019-05-26,0.0,14.0,29.1,21.6,
MXM00076680,2019-05-27,0.0,14.0,28.7,22.2,
MXM00076680,2019-05-28,0.0,14.5,29.0,22.1,
MXM00076680,2019-05-29,0.0,16.0,29.6,23.9,
MXM00076680,2019-05-30,0.0,16.8,30.7,23.9,
MXM00076680,2019-05-31,0.0,16.0,30.0,21.7,
MXM00076680,2019-06-01,5.1,15.2,30.0,20.3,
MXM00076680,2019-06-02,0.0,,,19.5,
MXM00076680,2019-06-03,0.0,14.5,22.3,19.1,
MXM00076680,2019-06-04,0.0,,,19.5,
MXM00076680,2019-06-05,0.8,14.6,25.4,18.3,
MXM00076680,2019-06-06,0.0,14.4,23.0,17.4,
MXM00076680,2019-06-07,20.1,13.6,27.0,18.2,
MXM00076680,2019-06-08,5.6,13.5,27.4,19.8,
MXM00076680,2019-06-09,0.0,,,22.3,
MXM00076680,2019-06-10,0.0,13.6,29.2,20.8,
MXM00076680,2019-06-11,0.0,13.6,26.2,18.3,
MXM00076680,2019-06-12,0.0,,,21.4,
MXM00076680,2019-06-13,0.0,14.0,26.6,19.7,
MXM00076680,2019-06-14,0.0,,,17.3,
MXM00076680,2019-06-15,0.3,,,19.6,
MXM00076680,2019-06-16,0.0,14.5,28.1,22.6,
MXM00076680,2019-06-17,0.0,16.1,29.5,21.4,
MXM00076680,2019-06-19,1.8,15.8,30.4,20.3,
MXM00076680,2019-06-20,0.0,15.0,28.4,20.5,
MXM00076680,2019-06-21,1.0,,,21.9,
MXM00076680,2019-06-22,,15.5,30.9,21.9,
MXM00076680,2019-06-23,,16.0,26.1,20.2,
MXM00076680,2019-06-24,,14.6,22.0,18.2,
MXM00076680,2019-06-25,4.6,14.0,22.6,17.7,
MXM00076680,2019-06-26,6.1,,,19.1,
MXM00076680,2019-06-27,8.6,14.0,27.2,18.5,
MXM00076680,2019-06-28,1.8,12.5,25.2,18.2,
MXM00076680,2019-06-29,1.5,12.2,25.8,17.2,
MXM00076680,2019-06-30,0.0,,,19.2,
MXM00076680,2019-07-01,1.0,10.9,24.9,17.1,
MXM00076680,2019-07-02,0.0,13.5,24.5,18.0,
MXM00076680,2019-07-03,7.9,12.5,23.1,16.6,
MXM00076680,2019-07-04,0.0,,,20.1,
MXM00076680,2019-07-05,10.9,,,19.7,
MXM00076680,2019-07-06,0.0,13.9,28.3,19.6,
MXM00076680,2019-07-07,10.9,,,15.8,
MXM00076680,2019-07-08,0.0,13.0,27.6,20.1,
MXM00076680,2019-07-09,7.9,12.5,26.3,16.0,
MXM00076680,2019-07-10,0.0,14.5,27.4,19.3,
MXM00076680,2019-07-11,1.5,14.0,24.9,16.7,
MXM00076680,2019-07-12,0.0,13.0,23.0,17.4,
MXM00076680,2019-07-13,,,,17.8,
MXM00076680,2019-07-14,,,,18.9,
MXM00076680,2019-07-15,5.8,12.6,26.5,18.7,
MXM00076680,2019-07-16,2.3,14.5,27.1,18.1,
MXM00076680,2019-07-17,0.8,13.0,26.8,18.4,
MXM00076680,2019-07-18,0.0,13.0,23.6,19.1,
MXM00076680,2019-07-19,34.0,12.6,26.2,18.7,
MXM00076680,2019-07-20,0.0,,,18.8,
MXM00076680,2019-07-21,6.4,12.6,25.6,19.2,
MXM00076680,2019-07-22,0.0,,,19.5,
MXM00076680,2019-07-23,0.0,12.5,25.1,19.3,
MXM00076680,2019-07-24,5.6,12.6,24.5,17.5,
MXM00076680,2019-07-25,0.0,13.0,23.5,16.2,
MXM00076680,2019-07-26,15.7,12.5,21.0,15.3,
MXM00076680,2019-07-27,0.0,,,17.2,
MXM00076680,2019-07-28,,,,21.3,
MXM00076680,2019-07-29,6.4,12.5,26.7,16.7,
MXM00076680,2019-07-30,2.5,12.5,24.3,18.1,
MXM00076680,2019-07-31,0.3,12.5,25.5,18.3,
MXM00076680,2019-08-01,10.7,12.6,25.2,17.9,
MXM00076680,2019-08-02,0.0,12.6,26.4,19.3,
MXM00076680,2019-08-03,0.0,13.0,25.3,19.8,
MXM00076680,2019-08-04,0.0,13.0,26.6,20.5,
MXM00076680,2019-08-05,1.5,15.0,26.2,20.2,
MXM00076680,2019-08-06,16.8,13.6,25.2,16.4,
MXM00076680,2019-08-07,,13.5,25.6,16.9,
MXM00076680,2019-08-08,18.0,,,17.9,
MXM00076680,2019-08-09,0.0,12.6,27.7,20.4,
MXM00076680,2019-08-10,1.5,14.5,27.0,18.8,
MXM00076680,2019-08-11,0.0,14.5,26.6,20.3,
MXM00076680,2019-08-12,,14.5,26.6,19.3,
MXM00076680,2019-08-13,3.6,13.5,26.6,20.5,
MXM00076680,2019-08-14,24.1,12.5,28.6,18.2,
MXM00076680,2019-08-15,0.5,14.6,28.0,21.2,
MXM00076680,2019-08-16,0.0,14.0,28.3,20.6,
MXM00076680,2019-08-17,0.0,14.0,28.6,21.6,
MXM00076680,2019-08-18,,14.9,27.9,19.9,
MXM00076680,2019-08-19,0.0,15.0,27.7,19.2,
MXM00076680,2019-08-20,0.0,,,18.7,
MXM00076680,2019-08-21,0.0,11.6,27.4,19.2,
MXM00076680,2019-08-22,0.0,12.0,26.0,19.9,
MXM00076680,2019-08-23,3.3,15.4,26.6,18.7,
MXM00076680,2019-08-24,0.3,14.5,27.0,19.8,
MXM00076680,2019-08-25,0.0,,,22.0,
MXM00076680,2019-08-26,7.6,13.6,29.6,18.8,
MXM00076680,2019-08-27,0.0,13.6,27.6,19.3,
MXM00076680,2019-08-28,0.0,14.5,27.6,19.7,
MXM00076680,2019-08-29,0.0,13.5,27.6,20.3,
MXM00076680,2019-08-30,0.0,12.5,27.0,18.8,
MXM00076680,2019-08-31,0.8,,,19.7,
MXM00076680,2019-09-01,0.0,12.6,27.3,20.1,
MXM00076680,2019-09-02,0.0,12.9,26.5,20.5,
MXM00076680,2019-09-03,0.0,13.8,25.5,19.5,
MXM00076680,2019-09-04,0.0,14.5,25.0,20.3,
MXM00076680,2019-09-05,0.0,14.6,25.2,20.6,
MXM00076680,2019-09-06,0.8,14.6,26.9,19.4,
MXM00076680,2019-09-07,0.0,13.5,24.9,19.1,
MXM00076680,2019-09-08,5.8,13.1,24.5,17.3,
MXM00076680,2019-09-09,0.0,13.1,26.1,18.8,
MXM00076680,2019-09-10,0.8,,,18.6,
MXM00076680,2019-09-11,2.5,13.6,21.0,15.5,
MXM00076680,2019-09-12,1.0,14.0,24.9,18.2,
MXM00076680,2019-09-13,0.3,13.6,24.5,16.2,
MXM00076680,2019-09-14,4.8,13.6,19.6,16.6,
MXM00076680,2019-09-15,0.3,,,19.2,
MXM00076680,2019-09-16,0.0,13.0,26.6,17.4,
MXM00076680,2019-09-17,25.7,13.7,26.6,16.1,
MXM00076680,2019-09-19,11.4,14.3,24.8,17.9,
MXM00076680,2019-09-20,0.0,13.0,22.0,17.4,
MXM00076680,2019-09-21,11.9,13.5,26.5,19.3,
MXM00076680,2019-09-22,0.0,13.5,26.6,19.5,
MXM00076680,2019-09-23,0.0,,,18.7,
