,CODIGO_AGENCIA,ID_RUTA,ID_CLIENTE,DESCRIPCION_CLIENTE,ID_RFC_CLIENTE,NOMBRE_TIENDA,ESTADO,CIUDAD,CODIGO_POSTAL,COLONIA,CALLE,NUMERO_EXTERIOR,NUMERO_INTERIOR,FORMA_PAGO,DIAS_CREDITO,ID_LETRA_FACTURACION,ID_TIPO_FISCAL,DIRECCION_FISCAL,POBLACION,CODIGO_CADENA,ID_TIPO_VENTA,CLIENTE_CREDITO,TOPE_DEVOLUCION,TIPO_FACT,TIPO_CLIENTE,REGISTRAR_FOLIO,APLICA_DC,NUMERO_TIENDA,CALLE_CRUZA,IMP_PESITO,VISITAS,ID_TIPO_DOCUMENTO,COMISION_PESITO,MONEDERO,DOCTODIGITAL,CREDITO_PESITO,IMP_PESITO_CLIENTE,TASA_COMISION,QUINCENAL,FACT_DIGITAL,PREIMPRESA,IMP_SE_CLIENTE,LONG_FOLIO_NV,LONG_FOLIO_NC,LEYENDA_CLIENTE_NV,LEYENDA_CLIENTE_NC,PRINT_STAMP
119,20139,212,20959,2344 SC TOREO,NWM9709244W4,"NUEVA WAL MART DE MEXICO, S. DE R.L. DE C.V.",CIUDAD DE MEXICO,MIGUEL HIDALGO,11220,PERIODISTA,BOULEVARD AVILA CAMACHO PERIFERICO NORTE,491,1,1,23,EEFG,4,AV. NEXTENGO 78 SANTA CRUZ ACAYUCAN DEL AZCAPOTZALCO MEXICO CIUDAD DE MEXICO C.P. 02770,MIGUEL HIDALGO,4,29,1,2.5,1,0,1,0,2344,AVENIDA VELAZQUEZ MARTINEZ y INGERIEROS MILITARES,0,0,FC,2,0,0,0,1,16,0,1,1,0,10,10,Nota de Venta,Credito digital,1
120,39659,212,20959,2344 SC TOREO,NWM9709244W4,"NUEVA WAL MART DE MEXICO, S. DE R.L. DE C.V.",CIUDAD DE MEXICO,MIGUEL HIDALGO,11220,PERIODISTA,BOULEVARD AVILA CAMACHO PERIFERICO NORTE,491,1,1,30,UFFG,4,AV. NEXTENGO 78 SANTA CRUZ ACAYUCAN DEL AZCAPOTZALCO MEXICO CIUDAD DE MEXICO C.P. 02770,MIGUEL HIDALGO,4,29,1,2.09999990463257,2,0,1,0,2344,AVENIDA VELAZQUEZ MARTINEZ y INGERIEROS MILITARES,0,0,FC,2,0,0,0,1,16,0,1,1,0,10,10,No de Folio:,No de Folio:,1
121,12688,216,1200400,232 CHEDRAUI SELECTO POLANCO,TCH850701RM1,"TIENDAS CHEDRAUI, S.A. DE C.V.",CIUDAD DE MEXICO,MIGUEL HIDALGO,11500,IRRIGACION,AVENIDA MIGUEL DE CERVANTES SAAVEDRA,397,1,1,45,EGFJ,4,AV CONSTITUYENTES 1150 LOMAS ALTAS MIGUEL HIDALGO CIUDAD DE MEXICO MEXICO 11950,MIGUEL HIDALGO,1863,25,1,2.09999990463257,2,0,1,0,232,PRESA OVIACHIC y BOULEVARD MIGUEL DE CERVANTES SAA,0,0,FC,2,0,0,0,1,16,0,1,1,0,10,10,No de Folio:,No de Folio:,1
122,20139,216,1200400,232 CHEDRAUI SELECTO POLANCO,TCH850701RM1,"TIENDAS CHEDRAUI, S.A. DE C.V.",CIUDAD DE MEXICO,MIGUEL HIDALGO,11500,IRRIGACION,AVENIDA MIGUEL DE CERVANTES SAAVEDRA,397,1,1,30,EEFG,4,AV CONSTITUYENTES 1150 LOMAS ALTAS MIGUEL HIDALGO CIUDAD DE MEXICO MEXICO 11950,MIGUEL HIDALGO,1863,25,1,2.5,1,0,1,0,232,PRESA OVIACHIC y BOULEVARD MIGUEL DE CERVANTES SAA,0,0,FC,2,0,0,0,1,16,0,1,1,0,10,10,Nota de Venta,Credito digital,1
123,39659,216,1200400,232 CHEDRAUI SELECTO POLANCO,TCH850701RM1,"TIENDAS CHEDRAUI, S.A. DE C.V.",CIUDAD DE MEXICO,MIGUEL HIDALGO,11500,IRRIGACION,AVENIDA MIGUEL DE CERVANTES SAAVEDRA,397,1,1,45,EGFJ,4,AV CONSTITUYENTES 1150 LOMAS ALTAS MIGUEL HIDALGO CIUDAD DE MEXICO MEXICO 11950,MIGUEL HIDALGO,1863,25,1,2.09999990463257,2,0,1,0,232,PRESA OVIACHIC y BOULEVARD MIGUEL DE CERVANTES SAA,0,0,FC,2,0,0,0,1,16,0,1,1,0,10,10,No de Folio:,No de Folio:,1
124,12688,217,4818201,400 TIENDA Y MEGA LAGO ALBERTO,CCF121101KQ4,COMERCIAL CITY FRESKO S DE RL DE CV,CIUDAD DE MEXICO,MIGUEL HIDALGO,11320,ANAHUAC I SECCION,LAGO XOCHIMILCO,343,JPB,1,45,A00,4,AVENIDA INSURGENTES SUR 1517 MODULO 2 SAN JOSE INSURGENTES BENITO JUAREZ CIUDAD DE MEXICO 03900,MIGUEL HIDALGO,1264,51,1,1,2,0,1,0,400,LAGO ALBERTO y EJERCITO NACIONAL,0,0,FC,2,0,0,0,1,16,0,1,1,0,6,6,No. de Folio:,No. de Folio:,0
125,20139,217,4818201,400 CITY FRESKO LAGO ALBERTO,CCF121101KQ4,COMERCIAL CITY FRESKO S DE RL DE CV,CIUDAD DE MEXICO,MIGUEL HIDALGO,11320,ANAHUAC I SECCION,LAGO XOCHIMILCO,343,JPB,1,21,EEFG,4,AVENIDA INSURGENTES SUR 1517 MODULO 2 SAN JOSE INSURGENTES BENITO JUAREZ CIUDAD DE MEXICO 03900,MIGUEL HIDALGO,1264,51,1,2.5,1,0,1,0,400,LAGO ALBERTO y EJERCITO NACIONAL,0,0,FC,2,0,0,0,1,16,0,1,1,0,10,10,Nota de Venta,Credito digital,1
126,39659,217,4818201,400 TIENDA Y MEGA LAGO ALBERTO,CCF121101KQ4,COMERCIAL CITY FRESKO S DE RL DE CV,CIUDAD DE MEXICO,MIGUEL HIDALGO,11320,ANAHUAC I SECCION,LAGO XOCHIMILCO,343,JPB,1,45,A00,4,AVENIDA INSURGENTES SUR 1517 MODULO 2 SAN JOSE INSURGENTES BENITO JUAREZ CIUDAD DE MEXICO 03900,MIGUEL HIDALGO,1264,51,1,1,2,0,1,0,400,LAGO ALBERTO y EJERCITO NACIONAL,0,0,FC,2,0,0,0,1,16,0,1,1,0,6,6,No. de Folio:,No. de Folio:,0
127,12688,223,4973850,106 CHEDRAUI SELECTO TOREO,TCH850701RM1,"TIENDAS CHEDRAUI, S.A. DE C.V.",MEXICO,NAUCALPAN DE JUAREZ,53390,LOMAS DE SOTELO,BOULEVARD MANUEL AVILA CAMACHO,5,1,1,45,A000,4,AV CONSTITUYENTES 1150 LOMAS ALTAS MIGUEL HIDALGO CIUDAD DE MEXICO MEXICO 11950,NAUCALPAN DE JUAREZ,1863,25,1,2,2,0,1,0,106,CALZADA INGENIEROS MILITARES y AVENIDA RIO SAN JOA,0,0,FC,2,0,0,0,1,16,0,1,1,0,10,10,No de Folio:,No de Folio:,0
128,20139,223,4973850,106 CHEDRAUI SELECTO TOREO,TCH850701RM1,"TIENDAS CHEDRAUI, S.A. DE C.V.",MEXICO,NAUCALPAN DE JUAREZ,53390,LOMAS DE SOTELO,BOULEVARD MANUEL AVILA CAMACHO,5,1,1,30,EEFG,4,AV CONSTITUYENTES 1150 LOMAS ALTAS MIGUEL HIDALGO CIUDAD DE MEXICO MEXICO 11950,NAUCALPAN DE JUAREZ,1863,25,1,2.5,1,0,1,0,106,CALZADA INGENIEROS MILITARES y AVENIDA RIO SAN JOA,0,0,FC,2,0,0,0,1,16,0,1,1,0,10,10,Nota de Venta,Credito digital,1
